,PropertyValuation,AnnualRent
mse,113799094908.21964,138757202.51074
norm_mse,0.008461207255857604,0.007330975112532135
rmse,337341.2143634685,11779.524714976407
norm_rmse,0.0919848207904848,0.08562111370761381
mae,122835.27296666667,5064.144548950914
norm_mae,0.03349421917481752,0.036809438984091246
mape,9.074285518369484,4.2208996789968065
r2,0.9910484541969178,0.9887509467845048
median_abs_error,21287.375,1793.5819431369819
norm_median_error,0.005804554235003949,0.01303689980819078
max_error,3732965.7366666663,142572.74681601732
norm_max_error,1.0178898091424204,1.0363098394980959
within_10pct,94.91666666666667,92.5
within_20pct,98.08333333333333,97.0
