AreaCode,Size_sqft,Bedrooms,Bathrooms,Furnishing,View,Developer,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType,PropertyAge,AmenityCount,PricePerSqFt,RentToValueRatio,BedBathRatio,RentalYield,PricePerBedroom,PricePerBathroom,RentPerBedroom,RentPerBathroom,AgeBucket,AreaName,Count_Area,AvgAge_Area,MedianAge_Area,AvgVal_Area,MedianVal_Area,AvgRent_Area,MedianRent_Area,AvgPricePerSqFt_Area,AvgRentToValue_Area
3,963,1,1,0,2,2,1,43383,1063425,0,19,4,1104.2834890965732,0.04079554270399887,1.0,4.079554270399887,1063425.0,1063425.0,43383.0,43383.0,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
1,5372,6,5,1,1,4,2,249108,4846673,2,1,6,902.2101638123604,0.051397732011216765,1.2,5.139773201121677,807778.8333333334,969334.6,41518.0,49821.6,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
0,3036,3,2,2,4,1,1,188994,4567880,1,7,6,1504.5718050065875,0.04137455449792902,1.5,4.137455449792902,1522626.6666666667,2283940.0,62998.0,94497.0,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
1,2826,4,3,1,1,3,3,291723,4907785,2,17,6,1736.6542816702051,0.059440867927181,1.3333333333333333,5.9440867927181,1226946.25,1635928.3333333333,72930.75,97241.0,0,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
2,901,1,1,0,0,5,1,53453,782776,0,17,6,868.7857935627081,0.06828645742843419,1.0,6.828645742843419,782776.0,782776.0,53453.0,53453.0,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
0,1422,2,3,2,4,5,2,98391,1407207,0,7,6,989.5970464135021,0.06991935088441147,0.6666666666666666,6.991935088441147,703603.5,469069.0,49195.5,32797.0,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
2,586,1,1,1,3,0,3,29886,528062,0,11,4,901.1296928327645,0.05659562702864437,1.0,5.659562702864437,528062.0,528062.0,29886.0,29886.0,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
5,2969,5,6,0,0,0,1,167694,3882506,2,1,5,1307.6813742000675,0.04319220627089823,0.8333333333333334,4.319220627089823,776501.2,647084.3333333334,33538.8,27949.0,2,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
4,2839,4,3,0,4,1,1,131742,2588792,1,10,4,911.8675589996477,0.05088937234045841,1.3333333333333333,5.088937234045841,647198.0,862930.6666666666,32935.5,43914.0,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
4,893,3,2,2,1,4,2,58508,1301528,0,4,3,1457.478163493841,0.044953316409635444,1.5,4.495331640963545,433842.6666666667,650764.0,19502.666666666668,29254.0,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
7,2904,4,5,1,3,0,1,127569,3043117,1,11,4,1047.905303030303,0.04192050453531691,0.8,4.192050453531691,760779.25,608623.4,31892.25,25513.8,0,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
5,871,3,2,0,2,1,3,46586,775541,0,23,3,890.4029850746268,0.06006903567960946,1.5,6.006903567960946,258513.66666666666,387770.5,15528.666666666666,23293.0,1,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
1,1881,3,4,0,3,1,2,124949,2019478,0,12,6,1073.6193514088252,0.06187192928073492,0.75,6.187192928073492,673159.3333333334,504869.5,41649.666666666664,31237.25,0,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
3,1891,2,1,0,3,4,2,115195,1701607,0,17,4,899.8450555261767,0.06769777040174377,2.0,6.769777040174377,850803.5,1701607.0,57597.5,115195.0,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
6,2927,2,1,1,3,5,2,223933,4983050,1,19,3,1702.4427741715067,0.04493894301682704,2.0,4.493894301682704,2491525.0,4983050.0,111966.5,223933.0,0,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
